Movie Name,Year,City,State,Type
French Twist ,Gazon maudit,Saltsjobaden,Stockholm,Comedy
Friday ,1995,Kemble,England,Comedy
From Dusk Till Dawn ,1996,W Lebanon                   ,NH,Action
Fair Game ,1995,Headley,England,Action
Kicking and Screaming ,1995,Lausanne,Vaud,Comedy
"Misérables, Les ",1995,Southampton,England,Drama
Bed of Roses ,1996,Woodsboro                   ,MD,Drama
Big Bully ,1996,Stavanger,Rogaland,Comedy
Screamers ,1995,Red Deer,Alberta,Action
Nico Icon ,1995,Memphis                     ,TN,Documentary
"Crossing Guard, The ",1995,Morges,Vaud,Action
"Juror, The ",1996,Calgary,Alberta,Drama
"White Balloon, The ",Badkonake sefid,Belleville,Ontario,Children
Things to Do in Denver When You're Dead ,1995,Cincinnati                  ,OH,Crime
Antonia's Line ,Antonia,Comox,British Columbia,Comedy
Once Upon a Time... When We Were Colored ,1995,Gasperich,Luxembourg,Drama
Angels and Insects ,1995,Helens Bay,Northern Ireland,Drama
White Squall ,1996,Milan,Lombardy,Action
Dunston Checks In ,1996,Staten Island               ,NY,Children
Black Sheep ,1996,Oslo,Oslo,Comedy
Nick of Time ,1995,Farmington,Michigan,Action
Mary Reilly ,1996,Santa Monica                ,CA,Drama
Vampire in Brooklyn ,1995,Calgary,Alberta,Comedy
Beautiful Girls ,1996,Vancouver,British Columbia,Comedy
Broken Arrow ,1996,Irvine                      ,CA,Action
In the Bleak Midwinter ,1995,Telgte,Nordrhein-Westfalen,Comedy
Hate ,"Haine, La",Cheltenham,England,Crime
Heidi Fleiss: Hollywood Madam ,1995,Keller                      ,VA,Documentary
City Hall ,1996,Nakskov,Storstrom,Drama
Bottle Rocket ,1996,Honolulu                    ,HI,Adventure
Mr. Wrong ,1996,Bubuieci,Chisinau,Comedy
Unforgettable ,1996,Amelia Island               ,FL,Mystery
Happy Gilmore ,1996,Alliston,Ontario,Comedy
"Bridges of Madison County, The ",1995,La Alberca,Murcia,Drama
Nobody Loves Me ,Keiner liebt mich,Rathgar,Dublin,Comedy
Muppet Treasure Island ,1996,Coral Gables                ,FL,Adventure
Catwalk ,1996,Miami                       ,FL,Documentary
Braveheart ,1995,Vancouver,British Columbia,Action
Taxi Driver ,1976,Jumeira,Dubayy,Crime
Rumble in the Bronx ,Hont faan kui,Englewood                   ,CO,Action
Before and After ,1996,Bournemouth,England,Drama
Anne Frank Remembered ,1995,Genoa                       ,IL,Documentary
"Young Poisoner's Handbook, The ",1995,Al 'Adliyah,Al Manamah,Crime
If Lucy Fell ,1996,Rouen,Upper Normandy,Comedy
"Steal Big, Steal Little ",1995,Parkland                    ,FL,Comedy
"Boys of St. Vincent, The ",1992,San Francisco               ,CA,Drama
Boomerang ,1992,Keller                      ,VA,Comedy
Chungking Express ,Chung Hing sam lam,Tsawwassen,British Columbia,Drama
Flirting With Disaster ,1996,Clinton                     ,NJ,Comedy
"NeverEnding Story III, The ",1994,Owensboro                   ,KY,Adventure
Jupiter's Wife ,1994,Lakewood Village            ,TX,Documentary
Pie in the Sky ,1996,Okotoks,Alberta,Comedy
Jade ,1995,Glimmen,Groningen,Thriller
Down Periscope ,1996,Calgary,Alberta,Comedy
Man of the Year ,1995,Kanata,Ontario,Documentary
Up Close and Personal ,1996,Bergen,Nordrhein-Westfalen,Drama
"Birdcage, The ",1996,College Park                ,MD,Comedy
"Brothers McMullen, The ",1995,Kailua Kona                 ,HI,Comedy
Bad Boys ,1995,Redondo Beach               ,CA,Action
"Amazing Panda Adventure, The ",1995,Fountain Hls                ,AZ,Adventure
"Basketball Diaries, The ",1995,Brisbane,Queensland,Drama
"Awfully Big Adventure, An ",1995,Mahopac                     ,NY,Drama
Amateur ,1994,Ile-Perrot,Quebec,Crime
Apollo 13 ,1995,Bruxelles,Brussels (Bruxelles),Adventure
Rob Roy ,1995,Chicago                     ,IL,Action
"Addiction, The ",1995,Rayford                     ,TX,Drama
Batman Forever ,1995,Escondido                   ,CA,Action
Beauty of the Day ,Belle de jour,Tesvikiye,Istanbul,Drama
Beyond Rangoon ,1995,Centurion,Gauteng,Adventure
Blue in the Face ,1995,York,England,Comedy
Canadian Bacon ,1995,Ashburn                     ,VA,Comedy
Casper ,1995,Los Angeles                 ,CA,Adventure
Clockers ,1995,Edgewood                    ,WA,Crime
Congo ,1995,New York                    ,NY,Action
Crimson Tide ,1995,Basingstoke,England,Drama
Crumb ,1994,Den Haag,Zuid-Holland,Documentary
Desperado ,1995,Marietta                    ,GA,Action
Devil in a Blue Dress ,1995,Houston                     ,TX,Crime
Die Hard: With a Vengeance ,1995,West Orange                 ,NJ,Action
"Doom Generation, The ",1995,Amsterdam,Noord-Holland,Comedy
First Knight ,1995,Downey                      ,CA,Action
Free Willy 2: The Adventure Home ,1995,Urlingford,Kilkenny,Adventure
Hackers ,1995,Holte,Kobenhavn,Action
Jeffrey ,1995,Freienbach,Schwyz,Comedy
Johnny Mnemonic ,1995,Hofheim am Taunus,Hessen,Action
Judge Dredd ,1995,Lafayette                   ,CA,Action
Jury Duty ,1995,Mushrif,,Comedy
Kids ,1995,Nashville                   ,AR,Drama
Living in Oblivion ,1995,New Malden,England,Comedy
Lord of Illusions ,1995,Bishop Auckland,England,Horror
Love & Human Remains ,1993,Navan,Meath,Comedy
Mad Love ,1995,Joppa,MD,Drama
Mallrats ,1995,Joppa,MD,Comedy
Mighty Morphin Power Rangers: The Movie ,1995,Hampton                     ,NJ,Action
Mute Witness ,1994,Louisville                  ,KY,Comedy
Nadja ,1994,Broadlands                  ,VA,Drama
"Net, The ",1995,Yellowknife,Northwest Territories,Action
Nine Months ,1995,Los Angeles                 ,CA,Comedy
Party Girl ,1995,New York                    ,NY,Comedy
"Prophecy, The ",1995,Saint Paul                  ,MN,Fantasy
Reckless ,1995,New York                    ,NY,Comedy
Safe ,1995,Spring Lake Park            ,MN,Thriller
"Scarlet Letter, The ",1995,Winnipeg,Manitoba,Drama
Showgirls ,1995,Seattle                     ,WA,Drama
Smoke ,1995,Deptford                    ,NJ,Comedy
Something to Talk About ,1995,Amsterdam,Noord-Holland,Comedy
Species ,1995,Alpharetta                  ,GA,Horror
Strange Days ,1995,Washington                  ,DC,Action
"Umbrellas of Cherbourg, The ","Parapluies de Cherbourg, Les",Holmenkollen,Oslo,Drama
Three Wishes ,1995,Zekeriyakoy,Istanbul,Drama
Total Eclipse ,1995,Washington                  ,DC,Drama
"To Wong Foo, Thanks for Everything! Julie Newmar ",1995,Montreal,Quebec,Comedy
Under Siege 2: Dark Territory ,1995,Braunschweig,Lower Saxony,Action
Unstrung Heroes ,1995,Athens                      ,GA,Comedy
Unzipped ,1995,Hoschton                    ,GA,Documentary
"Walk in the Clouds, A ",1995,Binningen,Basel-Country,Drama
Waterworld ,1995,Royal Oak                   ,MI,Action
White Man's Burden ,1995,Royal Oak                   ,MI,Drama
Wild Bill ,1995,Belmont                     ,MA,Western
"Browning Version, The ",1994,Old Greenwich               ,CT,Drama
Bushwhacked ,1995,Coconut Grove               ,FL,Adventure
Burnt by the Sun ,Utomlyonnye solntsem,Vienna                      ,VA,Drama
Before the Rain ,Pred dozhdot,San Ramon                   ,CA,Drama
Before Sunrise ,1995,Norfolk                     ,VA,Drama
Billy Madison ,1995,Norfolk                     ,VA,Comedy
"Babysitter, The ",1995,Aberdeen,Scotland,Drama
Boys on the Side ,1995,Charlestown,New South Wales,Comedy
"Cure, The ",1995,Wigan,England,Drama
Castle Freak ,1995,Rockville                   ,MD,Horror
Circle of Friends ,1995,Shreveport                  ,LA,Drama
Clerks ,1994,Shreveport                  ,LA,Comedy
Don Juan DeMarco ,1995,Little Silver               ,NJ,Comedy
Disclosure ,1994,Abbey Town,England,Drama
Drop Zone ,1994,Mid City West               ,PA,Action
Destiny Turns on the Radio ,1995,Atlanta,Georgia,Comedy
Death and the Maiden ,1994,Paris,Ile-de-France,Drama
Dolores Claiborne ,1995,Milton Keynes,England,Drama
Dumb & Dumber ,Dumb and Dumber,Dresden,Saxony,Adventure
Eat Drink Man Woman ,Yin shi nan nu,NYC                         ,NY,Comedy
Exotica ,1994,The Grange,Queensland,Drama
Exit to Eden ,1994,Brookline                   ,MA,Comedy
Ed Wood ,1994,Montreal-Nord,Quebec,Comedy
French Kiss ,1995,Irving                      ,TX,Action
Forget Paris ,1995,Ottawa Hills                ,OH,Comedy
Far From Home: The Adventures of Yellow Dog ,1995,Portola Valley              ,CA,Adventure
"Goofy Movie, A ",1995,Sydney,New South Wales,Animation
Hideaway ,1995,Kearns                      ,UT,Thriller
Fluke ,1995,Wollongong,New South Wales,Children
Farinelli: il castrato ,1994,Brooklyn                    ,NY,Drama
Gordy ,1995,Penngrove                   ,CA,Children
Hoop Dreams ,1994,Lemont                      ,IL,Documentary
Heavenly Creatures ,1994,San Carlos                  ,CA,Crime
Houseguest ,1994,Chicago                     ,IL,Comedy
Immortal Beloved ,1994,Oslo,Oslo,Drama
Heavyweights ,Heavy Weights,Wantagh,NY,Children
"Hunted, The ",1995,Coomera,Queensland,Action
I.Q. ,1994,Fort Oglethorpe             ,GA,Comedy
Interview with the Vampire: The Vampire Chronicles ,1994,Corbin City                 ,NJ,Drama
Jefferson in Paris ,1995,Lakeside                    ,CA,Drama
"Jerky Boys, The ",1995,Margate                     ,FL,Comedy
Junior ,1994,South Palm Beach            ,FL,Comedy
Just Cause ,1995,New York                    ,NY,Mystery
"Kid in King Arthur's Court, A ",1995,Anchorage                   ,AK,Adventure
Kiss of Death ,1995,Mona Vale,New South Wales,Crime
Star Wars: Episode IV - A New Hope ,1977,Castricum,Noord-Holland,Action
Little Women ,1994,North Brunswick             ,NJ,Drama
"Little Princess, A ",1995,Jacksonville                ,FL,Children
Ladybird Ladybird ,1994,Baytown                     ,TX,Drama
Like Water for Chocolate ,Como agua para chocolate,Winter Haven                ,FL,Drama
Legends of the Fall ,1994,Gonzaga Univ                ,WA,Drama
Major Payne ,1995,Malmo,Skane,Comedy
My Crazy Life ,Mi vida loca,San Pawl tat-Targa, ,Drama
Love Affair ,1994,Wiesbaden,Hessen,Drama
Losing Isaiah ,1995,London,England,Drama
"Madness of King George, The ",1994,Stavanger,Rogaland,Comedy
Mary Shelley's Frankenstein ,Frankenstein,Cork,Cork,Drama
Man of the House ,1995,Winchester                  ,MA,Comedy
Mixed Nuts ,1994,Calgary,Alberta,Comedy
Milk Money ,1994,Dallas                      ,TX,Comedy
Miracle on 34th Street ,1994,Malahide,Dublin,Drama
Miami Rhapsody ,1995,Saint Paul                  ,MN,Comedy
My Family ,1995,Edinburgh,Scotland,Drama
Murder in the First ,1995,Naarden,Noord-Holland,Drama
Nobody's Fool ,1994,Oldenburg,Lower Saxony,Comedy
Nell ,1994,Rennes,Brittany,Drama
New Jersey Drive ,1995,Ely                         ,NV,Crime
New York Cop ,Nyû Yôku no koppu,Norfolk                     ,VA,Action
Beyond Bedlam ,1993,Houston                     ,TX,Drama
Nina Takes a Lover ,1994,Chepel,Budapest,Comedy
Natural Born Killers ,1994,Buffalo Grove               ,IL,Action
Only You ,1994,Newburgh,Scotland,Comedy
Once Were Warriors ,1994,Vienna,Vienna,Crime
Poison Ivy II ,1996,Vicenza,Veneto,Drama
Outbreak ,1995,Mechanics Grove             ,PA,Action
Léon: The Professional ,a.k.a. The Professional,Miami                       ,FL,Action
"Perez Family, The ",1995,Silver Spring               ,MD,Comedy
"Pyromaniac's Love Story, A ",1995,Kirriemuir,Scotland,Comedy
Pulp Fiction ,1994,Roquefort,Provence-Alpes-Cote d'Azur,Comedy
Pushing Hands ,Tui shou,Portland                    ,OR,Drama
Priest ,1994,Staten Island               ,NY,Drama
Quiz Show ,1994,San Antonio                 ,TX,Drama
Picture Bride ,Bijo photo,Guildford,England,Drama
Queen Margot ,"Reine Margot, La",Horten,Vestfold,Drama
"Quick and the Dead, The ",1995,Englewood                   ,CO,Action
Roommates ,1995,San Antonio                 ,TX,Comedy
Ready to Wear ,Pret-A-Porter,Princeville                 ,HI,Comedy
Three Colors: Red ,Trois couleurs: Rouge,Castleknock,Dublin,Drama
Three Colors: Blue ,Trois couleurs: Bleu,Castleknock,Dublin,Drama
Three Colors: White ,Trzy kolory: Bialy,Bishops Stortford,England,Comedy
Rent-a-Kid ,1995,Den Haag,Zuid-Holland,Comedy
Relative Fear ,1994,Lafayette                   ,CA,Horror
Stuart Saves His Family ,1995,Blackpool,England,Comedy
"Swan Princess, The ",1994,Hellerup,Kobenhavn,Animation
"Secret of Roan Inish, The ",1994,London,England,Children
"Specialist, The ",1994,N Java                      ,NY,Action
Stargate ,1994,Munich,Bayern,Action
"Santa Clause, The ",1994,Brulon,Pays de la Loire,Comedy
"Shawshank Redemption, The ",1994,Austin                      ,TX,Crime
Shallow Grave ,1994,Midland Park                ,NJ,Comedy
Suture ,1993,Centerport                  ,NY,Film-Noir
Strawberry and Chocolate ,Fresa y chocolate,Neustift am Walde,Vienna,Drama
Swimming with Sharks ,1995,Neustift am Walde,Vienna,Comedy
"Sum of Us, The ",1994,Shorewood                   ,MN,Comedy
National Lampoon's Senior Trip ,1995,Southlake                   ,TX,Comedy
To Live ,Huozhe,Huntington                  ,NY,Drama
Tank Girl ,1995,The Woodlands               ,TX,Action
Tales from the Crypt Presents: Demon Knight ,1995,Kelowna,British Columbia,Horror
Star Trek: Generations ,1994,White House                 ,TN,Adventure
Tales from the Hood ,1995,Rungsted,Frederiksborg,Action
Tom & Viv ,1994,Lake Mahopac                ,NY,Drama
Village of the Damned ,1995,Biot,Provence-Alpes-Cote d'Azur,Horror
Tommy Boy ,1995,Plantation                  ,FL,Comedy
Vanya on 42nd Street ,1994,Killiney,Dublin,Drama
Underneath ,1995,Guer,Brittany,Mystery
"Walking Dead, The ",1995,Arlington                   ,VA,Drama
What's Eating Gilbert Grape ,1993,Three Hills,Alberta,Drama
Virtuosity ,1995,Great Falls,Virginia,Action
While You Were Sleeping ,1995,London,England,Comedy
"War, The ",1994,Clontarf,Dublin,Adventure
Double Happiness ,1994,Vancouver,British Columbia,Drama
Muriel's Wedding ,1994,London,England,Comedy
"Baby-Sitters Club, The ",1995,Dickerson                   ,MD,Children
Ace Ventura: Pet Detective ,1994,Princeton                   ,NJ,Comedy
"Adventures of Priscilla, Queen of the Desert, The ",1994,Calgary,Alberta,Comedy
Backbeat ,1993,North Tustin                ,CA,Drama
Bitter Moon ,1992,Gurgaon,Haryana,Drama
Bullets Over Broadway ,1994,Rambouillet,Ile-de-France,Comedy
Clear and Present Danger ,1994,Gladwyne                    ,PA,Action
"Client, The ",1994,Houston                     ,TX,Drama
"Corrina, Corrina ",1994,London,England,Comedy
Crooklyn ,1994,Slough,England,Comedy
"Crow, The ",1994,Glan-Munchweiler,Rhineland-Palatinate,Action
Cobb ,1994,Downingtown                 ,PA,Drama
"Flintstones, The ",1994,MT Pleasant                 ,TX,Children
Forrest Gump ,1994,Veigy-Foncenex,Rhone-Alpes,Comedy
Four Weddings and a Funeral ,1994,Katy                        ,TX,Comedy
Higher Learning ,1995,Gorey, ,Drama
I Like It Like That ,1994,Belgrade                    ,MT,Comedy
I Love Trouble ,1994,Calgary,Alberta,Action
It Could Happen to You ,1994,Toronto,Ontario,Comedy
"Jungle Book, The ",1994,Corrales                    ,NM,Adventure
"Wonderful, Horrible Life of Leni Riefenstahl, The ","Macht der Bilder: Leni Riefenstahl, Die",Cork,Cork,Documentary
"Lion King, The ",1994,Tenafly                     ,NJ,Adventure
Little Buddha ,1993,Leesburg                    ,VA,Drama
Wes Craven's New Nightmare ,"Nightmare on Elm Street Part 7: Freddy's Finale, A",Alcona,Ontario,Drama
"Mask, The ",1994,Kuala Lumpur,Kuala Lumpur,Action
Maverick ,1994,Sydney,New South Wales,Adventure
Mrs. Parker and the Vicious Circle ,1994,Nerang,Queensland,Drama
Naked Gun 33 1/3: The Final Insult ,1994,Bryceville                  ,FL,Action
"Paper, The ",1994,Saffron Walden,England,Comedy
Reality Bites ,1994,Sutton,Dublin,Comedy
Red Rock West ,1992,Durban,KwaZulu-Natal,Thriller
Richie Rich ,1994,Berkeswell,England,Children
"River Wild, The ",1994,Dryden                      ,VA,Action
Speed ,1994,Santry,Dublin,Action
Speechless ,1994,Barcelona,Catalonia,Comedy
Timecop ,1994,Fayetteville                ,NC,Action
True Lies ,1994,Anse Comeau,Quebec,Action
When a Man Loves a Woman ,1994,Thorlakshofn, ,Drama
Wolf ,1994,Overland                    ,KS,Drama
Wyatt Earp ,1994,King City,Ontario,Western
Bad Company ,1995,Leighton Buzzard,England,Action
"Man of No Importance, A ",1994,Umea,Vasterbotten,Drama
S.F.W. ,1994,Sola,Rogaland,Drama
"Low Down Dirty Shame, A ",1994,Stockton-on-Tees,England,Action
Boys Life ,1995,Senatobia                   ,MS,Drama
"Colonel Chabert, Le ",1994,Berlin,Berlin,Drama
Faster Pussycat! Kill! Kill! ,1965,Waldorf                     ,MD,Action
Jason's Lyric ,1994,Brooklyn                    ,NY,Crime
Street Fighter ,1994,Lakeville                   ,MN,Action
Highlander III: The Sorcerer ,a.k.a. Highlander: The Final Dimension,Saint-Cergues,Rhone-Alpes,Action
Federal Hill ,1994,Vancouver,British Columbia,Drama
In the Mouth of Madness ,1995,Stamford                    ,CT,Horror
8 Seconds ,1994,Rathfarnham,Dublin,Drama
Above the Rim ,1994,Paris,Ile-de-France,Crime
Addams Family Values ,1993,Howell                      ,MI,Children
"Age of Innocence, The ",1993,Encinitas                   ,CA,Drama
Airheads ,1994,Atchison                    ,KS,Comedy
"Air Up There, The ",1994,Mililani                    ,HI,Comedy
Another Stakeout ,1993,Victor                      ,NY,Comedy
Bad Girls ,1994,Fairbanks                   ,AK,Western
Barcelona ,1994,Soro,Vestsjalland,Comedy
Being Human ,1993,Warlingham,England,Drama
"Beverly Hillbillies, The ",1993,Hamburg,Hamburg,Comedy
Beverly Hills Cop III ,1994,Accokeek                    ,MD,Action
Black Beauty ,1994,Sunnyvale                   ,CA,Adventure
Blink ,1994,Ithaca                      ,NY,Thriller
Blown Away ,1994,Houston                     ,TX,Action
Blue Chips ,1994,Farmingtn Hls               ,MI,Drama
Blue Sky ,1994,Brooklyn                    ,NY,Drama
Body Snatchers ,1993,Great Falls                 ,VA,Horror
Boxing Helena ,1993,Gosport,England,Drama
"Bronx Tale, A ",1993,Scottsdale                  ,AZ,Drama
Cabin Boy ,1994,Sunnyvale                   ,CA,Comedy
Calendar Girl ,1993,Songnae-dong,Soul-t'ukpyolsi,Comedy
Carlito's Way ,1993,Clyde Hill                  ,WA,Crime
City Slickers II: The Legend of Curly's Gold ,1994,Ruschlikon,Zurich,Adventure
Clean Slate ,1994,Minneapolis                 ,MN,Comedy
Cliffhanger ,1993,Chicago                     ,IL,Action
Coneheads ,1993,Petworth,England,Comedy
Color of Night ,1994,Abu Dhabi,Abu Zaby,Drama
Cops and Robbersons ,1994,Stockholm,Stockholm,Comedy
"Cowboy Way, The ",1994,Queen Creek                 ,AZ,Action
Dave ,1993,Queen Creek                 ,AZ,Comedy
Dazed and Confused ,1993,Durham                      ,NC,Comedy
Demolition Man ,1993,Austin                      ,TX,Action
Even Cowgirls Get the Blues ,1993,Glenn Dale                  ,MD,Comedy
Fatal Instinct ,1993,Aardal,Sogn og Fjordane,Comedy
Farewell My Concubine ,Ba wang bie ji,Edinburg                    ,TX,Drama
Fearless ,1993,South Melbourne,Victoria,Drama
Fear of a Black Hat ,1994,Fortaleza,Ceara,Comedy
With Honors ,1994,Weston                      ,CT,Comedy
Flesh and Bone ,1993,Reading,England,Drama
Widows' Peak ,1994,Coconut Grove               ,FL,Drama
For Love or Money ,1993,London,England,Comedy
"Firm, The ",1993,San Francisco               ,CA,Drama
Free Willy ,1993,Zug,Zug,Adventure
Fresh ,1994,Scottsdale                  ,AZ,Crime
"Fugitive, The ",1993,Potomac Falls               ,VA,Thriller
Geronimo: An American Legend ,1993,Superior                    ,CO,Drama
"Getaway, The ",1994,London,England,Action
Getting Even with Dad ,1994,Engleside                   ,VA,Comedy
Go Fish ,1994,New Plymouth City,Taranaki,Drama
Hard Target ,1993,Roanoke                     ,VA,Action
Hot Shots! Part Deux ,1993,Norcross                    ,GA,Action
Live Nude Girls ,1995,Sandy Plains                ,GA,Comedy
"Englishman Who Went Up a Hill But Came Down a Mountain, The ",1995,Saint Catharines,Ontario,Comedy
"House of the Spirits, The ",1993,Gainesville                 ,VA,Drama
House Party 3 ,1994,Nordstrand,Oslo,Comedy
"Hudsucker Proxy, The ",1994,Arlington                   ,MA,Comedy
I'll Do Anything ,1994,West Hills                  ,CA,Comedy
In the Army Now ,1994,San Jose                    ,CA,Comedy
In the Line of Fire ,1993,London,England,Action
In the Name of the Father ,1993,Oak Park                    ,MI,Drama
"Inkwell, The ",1994,Terrell Hills               ,TX,Comedy
What's Love Got to Do with It? ,1993,Jumeira,Dubayy,Drama
Jimmy Hollywood ,1994,Falmouth                    ,VA,Comedy
Judgment Night ,1993,Lurgan,Northern Ireland,Action
Jurassic Park ,1993,Richmond                    ,TX,Action
Kalifornia ,1993,Den Haag,Zuid-Holland,Drama
Killing Zoe ,1994,Ooltewah                    ,TN,Crime
Lassie ,1994,Pacific Beach               ,CA,Adventure
Last Action Hero ,1993,Austin                      ,TX,Action
Life with Mikey ,1993,Seattle                     ,WA,Comedy
Lightning Jack ,1994,Seattle                     ,WA,Comedy
M. Butterfly ,1993,Ottawa,Ontario,Drama
Made in America ,1993,Vienna                      ,VA,Comedy
Malice ,1993,Torbay,Auckland,Thriller
"Man Without a Face, The ",1993,Shenfield,England,Drama
Manhattan Murder Mystery ,1993,Bergen,Hordaland,Comedy
Menace II Society ,1993,Bolton,England,Action
Executive Decision ,1996,Sandymount,Dublin,Action
In the Realm of the Senses ,Ai no corrida,Bellinzona,Ticino,Drama
What Happened Was... ,1994,Antwerpen,Antwerpen,Comedy
Much Ado About Nothing ,1993,Campinas,Sao Paulo,Comedy
Mr. Wonderful ,1993,Nacka,Stockholm,Comedy
Mrs. Doubtfire ,1993,Fremont                     ,CA,Comedy
Naked ,1993,Warwick,Queensland,Drama
"Next Karate Kid, The ",1994,Holmdel                     ,NJ,Action
No Escape ,1994,Baltimore                   ,MD,Action
North ,1994,Saggart,Dublin,Comedy
Orlando ,1992,Andover                     ,MA,Drama
"Perfect World, A ",1993,La Crescenta                ,CA,Crime
Philadelphia ,1993,Suwanee                     ,GA,Drama
"Piano, The ",1993,Seattle                     ,WA,Drama
Poetic Justice ,1993,Arlington                   ,VA,Drama
"Program, The ",1993,Calgary,Alberta,Action
"Puppet Masters, The ",1994,Kenmore                     ,WA,Horror
Radioland Murders ,1994,Fresno                      ,CA,Comedy
"Ref, The ",1994,Atascadero                  ,CA,Comedy
"Remains of the Day, The ",1993,Barcelona,Catalonia,Drama
Renaissance Man ,1994,High Wycombe,England,Comedy
Rising Sun ,1993,Tsaritsyno,Moscow City,Action
"Road to Wellville, The ",1994,Ajax,Ontario,Comedy
RoboCop 3 ,1993,New York                    ,NY,Action
Robin Hood: Men in Tights ,1993,Fairfield                   ,IA,Comedy
Romeo Is Bleeding ,1993,North Bay,Ontario,Crime
Romper Stomper ,1992,Marietta                    ,GA,Action
Ruby in Paradise ,1993,Clontarf,Dublin,Drama
Rudy ,1993,Danville                    ,PA,Drama
Savage Nights ,"Nuits fauves, Les",Okotoks,Alberta,Drama
Schindler's List ,1993,Anthem                      ,AZ,Drama
"Scout, The ",1994,Clonmel,Tipperary,Comedy
Searching for Bobby Fischer ,1993,Arlington                   ,VA,Drama
"Secret Garden, The ",1993,Orlando                     ,FL,Children
Serial Mom ,1994,Walnut Creek                ,CA,Comedy
"Shadow, The ",1994,Centennial                  ,CO,Action
Shadowlands ,1993,Newtown                     ,CT,Drama
Short Cuts ,1993,Vancouver,British Columbia,Drama
"Simple Twist of Fate, A ",1994,York,England,Drama
Sirens ,1994,Drogheda,Louth,Drama
Six Degrees of Separation ,1993,Saddle Brook                ,NJ,Drama
Sleepless in Seattle ,1993,San Diego                   ,CA,Comedy
Sliver ,1993,Issaquah                    ,WA,Thriller
Blade Runner ,1982,Bolton,England,Action
Son in Law ,1993,Lexington                   ,MA,Comedy
So I Married an Axe Murderer ,1993,Altadena                    ,CA,Comedy
Striking Distance ,1993,Altadena                    ,CA,Action
